,year,country,stateProvince,Latitude,Longitude,acceptedNameUsage,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank
0,1985.0,Spain,Andorra,42.56,1.6,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
1,1910.0,Spain,Salamanca,40.6,-6.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
2,1893.0,Portugal,Coimbra,40.2,-8.42,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
3,2002.0,Spain,Asturias,43.31,-5.05,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
4,2006.0,Portugal,Guarda,40.35,-7.56,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
5,2003.0,Spain,Cadiz,36.68,-6.13,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
6,1870.0,Spain,Granada,37.18,-3.6,Agelena agelenoides,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agelenoides,Species
7,1925.0,Spain,Malaga,36.71,-4.41,Agelena agelenoides,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agelenoides,Species
8,1920.0,Portugal,Portugal,,,Agelena agelenoides,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agelenoides,Species
9,1940.0,Portugal,Bragança,41.16,-7.01,Agelena agelenoides,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agelenoides,Species
10,1875.0,Spain,Spain,,,Agelena agelenoides,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agelenoides,Species
11,1940.0,Portugal,Faro,37.19,-7.41,Agelena agelenoides,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agelenoides,Species
12,2012.0,Spain,Ourense,42.25,-7.02,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
13,2004.0,Portugal,Beja,37.64,-7.74,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
